onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	53	-1	F	0	6	8	3	1	True	1.0	-5	1	1	1	1a	0	3/4	True	3	True				False	0	Db.I6	Db	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-5	-5	-5	4	4	4	True	False	True
12	12	56	-4	A	-1	6	8	2	1	True	2.0	-5	1	1	1	1a	3/2	3/8	False	3	False				False	0	Db.I6	Db	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-5	-5	-5	1	1	1	True	False	False
24	12	53	-1	F	0	6	8	3	1	False	1.0	-5	2	2	2	2a	3	3/8	False	3	False				False	0	Db.I6	Db	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-5	-5	-5	4	4	4	True	False	True
24	12	56	-4	A	-1	6	8	2	1	False	1.0	-5	2	2	2	2a	3	3/8	False	3	False				False	0	Db.I6	Db	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-5	-5	-5	1	1	1	True	False	False
24	12	61	-5	D	-1	6	8	1	1	True	1.0	-5	2	2	2	2a	3	3/8	False	4	False				False	0	Db.I6	Db	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-5	-5	-5	0	0	0	True	True	False
36	12	37	-5	D	-1	6	8	4	1	True	2.0	-5	2	2	2	2a	9/2	3/8	False	2	True				False	1	I	Db	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-5	-5	-5	0	0	0	True	True	True
36	12	49	-5	D	-1	6	8	4	1	True	2.0	-5	2	2	2	2a	9/2	3/8	False	3	True				False	1	I	Db	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-5	-5	-5	0	0	0	True	True	True
36	12	53	-1	F	0	6	8	3	1	False	2.0	-5	2	2	2	2a	9/2	3/8	False	3	True				False	1	I	Db	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-5	-5	-5	4	4	4	True	False	False
36	12	56	-4	A	-1	6	8	2	1	False	2.0	-5	2	2	2	2a	9/2	3/8	False	3	True				False	1	I	Db	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-5	-5	-5	1	1	1	True	False	False
36	12	61	-5	D	-1	6	8	1	1	False	2.0	-5	2	2	2	2a	9/2	3/8	False	4	True				False	1	I	Db	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-5	-5	-5	0	0	0	True	True	True
