onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	64	4	E	0	2	2	3	1	True	2.25	3	1	0	1	0a	0	1/8	True	4	True				False	0		A.V	A	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	3	3	3	1	1	1	True	True	True
1	1	66	6	F	1	2	2	3	1	True	2.5	3	1	0	1	0a	1/2	1/8	False	4	False				False	0		A.V	A	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	3	3	3	3	3	3	False	False	False
2	1	64	4	E	0	2	2	3	1	True	2.75	3	1	0	1	0a	1	1/8	False	4	False				False	0		A.V	A	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	3	3	3	1	1	1	True	True	True
3	8	61	7	C	1	2	2	3	1	True	1.0	3	2	1	2	1a	3/2	1	False	4	True				False	1		I64	A	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	3	3	3	4	4	4	True	False	False
4	1	52	4	E	0	2	2	4	1	True	1.25	3	2	1	2	1a	2	1/8	False	3	False				False	1		I64	A	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	3	3	3	1	1	1	True	False	True
5	1	54	6	F	1	2	2	4	1	True	1.5	3	2	1	2	1a	5/2	1/8	False	3	False				False	1		I64	A	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	3	3	3	3	3	3	False	False	False
6	1	52	4	E	0	2	2	4	1	True	1.75	3	2	1	2	1a	3	1/8	False	3	False				False	1		I64	A	I		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64, major		I	3	3	3	1	1	1	True	False	True
7	4	57	3	A	0	2	2	4	1	True	2.0	3	2	1	2	1a	7/2	1/2	False	3	True				False	2		I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
8	1	76	4	E	0	2	2	1	1	True	2.25	3	2	1	2	1a	4	1/8	False	5	False				False	2		I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
9	1	78	6	F	1	2	2	1	1	True	2.5	3	2	1	2	1a	9/2	1/8	False	5	False				False	2		I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	3	3	3	False	False	False
