onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	a_quality	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	0.0	55	1	G	0	1.0	1	4	4	3	1	1/4	True	0	1	1	1	1a	3	0	True	True			{	False	0	G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1		1	1	1	major triad	0	0	0	True	True	True
0	1	0.0	71	5	B	0	1.0	1	4	4	1	1	1/4	True	0	1	1	1	1a	4	0	True	True			{	False	0	G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1		1	1	1	major triad	4	4	4	True	False	False
0	1	0.0	74	2	D	0	1.0	1	4	4	2	1	1/4	True	0	1	1	1	1a	5	0	True	True			{	False	0	G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1		1	1	1	major triad	1	1	1	True	False	False
2	1	2.0	54	6	F	1	3.0	3	4	4	3	1	1/4	True	0	1	1	1	1a	3	2	False	True				False	1	I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1		1	1	1	major triad	5	5	5	False	False	False
2	1	2.0	69	3	A	0	3.0	3	4	4	2	1	1/4	True	0	1	1	1	1a	4	2	False	True				False	1	I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1		1	1	1	major triad	2	2	2	False	False	False
2	1	2.0	74	2	D	0	3.0	3	4	4	1	1	1/4	True	0	1	1	1	1a	5	2	False	True				False	1	I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1		1	1	1	major triad	1	1	1	True	False	False
4	1	4.0	52	4	E	0	1.0	1	4	4	3	1	1/4	True	0	2	2	2	2a	3	4	False	True				False	2	viio6/V	G	I		viio6/V	vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		viio6/V, major	V	V	7	5	1	1	2	diminished triad	3	3	2	True	False	True
4	1	4.0	67	1	G	0	1.0	1	4	4	1	1	1/4	True	0	2	2	2	2a	4	4	False	True				False	2	viio6/V	G	I		viio6/V	vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		viio6/V, major	V	V	7	5	1	1	2	diminished triad	0	0	-1	True	False	False
4	1	4.0	73	7	C	1	1.0	1	4	4	2	1	1/4	True	0	2	2	2	2a	5	4	False	True				False	2	viio6/V	G	I		viio6/V	vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		viio6/V, major	V	V	7	5	1	1	2	diminished triad	6	6	5	True	True	False
6	1	6.0	50	2	D	0	3.0	3	4	4	3	1	1/4	True	0	2	2	2	2a	3	6	False	True	HC	HC	}	True	3	V|HC}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	5		1	1	1	major triad	1	1	1	True	True	True
6	1	6.0	66	6	F	1	3.0	3	4	4	1	1	1/4	True	0	2	2	2	2a	4	6	False	True	HC	HC	}	True	3	V|HC}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	5		1	1	1	major triad	5	5	5	True	False	False
6	1	6.0	74	2	D	0	3.0	3	4	4	2	1	1/4	True	0	2	2	2	2a	5	6	False	True	HC	HC	}	True	3	V|HC}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	5		1	1	1	major triad	1	1	1	True	True	True
