onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
4.0	2.0	2.0	65	-1	F	0.0	3.0	3	3	2	1.0	1.0	1/2	True		1.0	1.0	1.0	1a	4	4	False	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
4.0	2.0	2.0	65	-1	F	0.0	3.0	3	3	2	3.0	1.0	1/2	True		1.0	1.0	1.0	1a	4	4	False	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
4.0	2.0	2.0	65	-1	F	0.0	3.0	3	3	2	4.0	1.0	1/2	True		1.0	1.0	1.0	1a	4	4	False	True			{	False	0	f.i{		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
6.0	4.0	3.0	64	4	E	0.0	1.0	1	3	2	3.0	1.0	1	True	-2	2.0	2.0	2.0	2a	4	6	False	True				False	1	V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	-1	-1	-1	5	5	5	True	False	True
6.0	4.0	3.0	64	4	E	0.0	1.0	1	3	2	4.0	1.0	1	True	-2	2.0	2.0	2.0	2a	4	6	False	True				False	1	V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	-1	-1	-1	5	5	5	True	False	True
6.0	6.0	3.0	72	0	C	0.0	1.0	1	3	2	1.0	1.0	3/2	True	-2	2.0	2.0	2.0	2a	5	6	False	True				False	1	V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	-1	-1	-1	1	1	1	True	True	False
10.0	2.0	5.0	63	-3	E	-1.0	3.0	3	3	2	3.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	4	10	False	True				False	2	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	-2	-2	-2	True	False	True
10.0	2.0	5.0	63	-3	E	-1.0	3.0	3	3	2	4.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	4	10	False	True				False	2	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	-2	-2	-2	True	False	True
10.0	2.0	5.0	72	0	C	0.0	3.0	3	3	2	2.0	1.0	1/2	True	-2	2.0	2.0	2.0	2a	5	10	False	True				False	2	v6		f	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	-1	-1	-1	1	1	1	True	True	False
12.0	4.0	6.0	62	2	D	0.0	1.0	1	3	2	3.0	1.0	1	True	-2	3.0	3.0	3.0	3a	4	12	False	True				False	3	IV6(2)		f	i		IV6(2)	IV		6	2		M	True	True	(3, 0, 1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6(2), minor		IV	-1	-1	-1	3	3	3	True	False	True
