onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	6.0	0.0	52	4	E	0.0	1.0	1	4	4	3.0	1.0	3/4	True	0	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
0.0	6.0	0.0	52	4	E	0.0	1.0	1	4	4	4.0	1.0	3/4	True	0	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
6.0	2.0	3.0	50	2	D	0.0	4.0	4	4	4	3.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	3	False	True				False	2	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-2	-2	-2	True	False	True
6.0	2.0	3.0	50	2	D	0.0	4.0	4	4	4	4.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	3	False	True				False	2	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-2	-2	-2	True	False	True
6.0	2.0	3.0	71	5	B	0.0	4.0	4	4	4	1.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	4	3	False	True				False	2	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	1	1	1	True	True	False
8.0	4.0	4.0	48	0	C	0.0	1.0	1	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	3	iv6(2)	e	i		iv6(2)	iv		6	2		m	True	True	(-4, 0, 1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6(2), minor		iv	4	4	4	-4	-4	-4	True	False	True
8.0	4.0	4.0	48	0	C	0.0	1.0	1	4	4	4.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	3	iv6(2)	e	i		iv6(2)	iv		6	2		m	True	True	(-4, 0, 1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6(2), minor		iv	4	4	4	-4	-4	-4	True	False	True
8.0	2.0	4.0	71	5	B	0.0	1.0	1	4	4	1.0	1.0	1/4	False	0	2.0	2.0	2.0	2a	4	4	False	True				False	3	iv6(2)	e	i		iv6(2)	iv		6	2		m	True	True	(-4, 0, 1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6(2), minor		iv	4	4	4	1	1	1	True	False	False
10.0	2.0	5.0	69	3	A	0.0	2.0	2	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	4	5	False	True				False	4	iv6	e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-1	-1	-1	True	True	False
10.0	4.0	5.0	76	4	E	0.0	2.0	2	4	4	2.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	5	5	False	True				False	4	iv6	e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	0	0	0	True	False	False
12.0	4.0	6.0	47	5	B	0.0	3.0	3	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	6	False	True				False	5	V(64)	e	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	4	4	4	1	1	1	True	True	True
12.0	4.0	6.0	47	5	B	0.0	3.0	3	4	4	4.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	6	False	True				False	5	V(64)	e	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	4	4	4	1	1	1	True	True	True
12.0	2.0	6.0	67	1	G	0.0	3.0	3	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	4	6	False	True				False	5	V(64)	e	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	4	4	4	-3	-3	-3	True	False	False
