onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	1.0	0.0	48	0	C	0.0	3.5	0	3	4	3.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	3	0	True	True			{	False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
0.0	1.0	0.0	72	0	C	0.0	3.5	0	3	4	1.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	5	0	True	True			{	False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
0.0	1.0	0.0	76	4	E	0.0	3.5	0	3	4	2.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	5	0	True	True			{	False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
1.0	4.0	0.5	48	0	C	0.0	1.0	1	3	4	3.0	1.0	1/2	True	0	2.0	2.0	1.0	1a	3	1/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
1.0	2.0	0.5	72	0	C	0.0	1.0	1	3	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	1/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
1.0	2.0	0.5	76	4	E	0.0	1.0	1	3	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	1/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
3.0	2.0	1.5	76	4	E	0.0	2.0	2	3	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	3/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
3.0	2.0	1.5	79	1	G	0.0	2.0	2	3	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	3/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
5.0	2.0	2.5	76	4	E	0.0	3.0	3	3	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	5/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
5.0	2.0	2.5	79	1	G	0.0	3.0	3	3	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	5	5/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
7.0	2.0	3.5	60	0	C	0.0	1.0	1	3	4	3.0	1.0	1/4	True	0	3.0	3.0	2.0	2a	4	7/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
7.0	4.0	3.5	72	0	C	0.0	1.0	1	3	4	2.0	1.0	1/2	True	0	3.0	3.0	2.0	2a	5	7/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
7.0	4.0	3.5	84	0	C	0.0	1.0	1	3	4	1.0	1.0	1/2	True	0	3.0	3.0	2.0	2a	6	7/2	False	False				False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
9.0	2.0	4.5	52	4	E	0.0	2.0	2	3	4	3.0	1.0	1/4	True	0	3.0	3.0	2.0	2a	3	9/2	False	True				False	1	I6	C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	4	4	4	True	False	True
11.0	2.0	5.5	55	1	G	0.0	3.0	3	3	4	3.0	1.0	1/4	True	0	3.0	3.0	2.0	2a	3	11/2	False	True				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	1	1	1	True	True	True
13.0	4.0	6.5	48	0	C	0.0	1.0	1	3	4	3.0	1.0	1/2	True	0	4.0	4.0	3.0	3a	3	13/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	0	0	0	False	False	False
13.0	1.0	6.5	72	0	C	0.0	1.0	1	3	4	1.0	1.0	1/8	True	0	4.0	4.0	3.0	3a	5	13/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	0	0	0	False	False	False
13.0	2.0	6.5	76	4	E	0.0	1.0	1	3	4	2.0	1.0	1/4	True	0	4.0	4.0	3.0	3a	5	13/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	4	4	4	False	False	False
14.0	1.0	7.0	76	4	E	0.0	1.5	0	3	4	1.0	1.0	1/8	True	0	4.0	4.0	3.0	3a	5	7	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	4	4	4	False	False	False
15.0	2.0	7.5	72	0	C	0.0	2.0	2	3	4	2.0	1.0	1/4	True	0	4.0	4.0	3.0	3a	5	15/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	0	0	0	False	False	False
15.0	1.0	7.5	79	1	G	0.0	2.0	2	3	4	1.0	1.0	1/8	True	0	4.0	4.0	3.0	3a	5	15/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	1	1	1	True	True	True
16.0	1.0	8.0	76	4	E	0.0	2.5	0	3	4	1.0	1.0	1/8	True	0	4.0	4.0	3.0	3a	5	8	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	4	4	4	False	False	False
17.0	2.0	8.5	60	0	C	0.0	3.0	3	3	4	3.0	1.0	1/4	True	0	4.0	4.0	3.0	3a	4	17/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	0	0	0	False	False	False
17.0	1.0	8.5	72	0	C	0.0	3.0	3	3	4	1.0	1.0	1/8	True	0	4.0	4.0	3.0	3a	5	17/2	False	False				False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	0	0	0	False	False	False
