onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	36.0	0.0	51	-3	E	-1.0	4	4	2.0	1.0	3/4	True	-3	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
0.0	36.0	0.0	58	-2	B	-1.0	4	4	2.0	1.0	3/4	True	-3	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
0.0	24.0	0.0	63	-3	E	-1.0	4	4	1.0	2.0	1/2	True	-3	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
0.0	18.0	0.0	67	1	G	0.0	4	4	1.0	1.0	3/8	True	-3	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
0.0	18.0	0.0	75	-3	E	-1.0	4	4	1.0	1.0	3/8	True	-3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
18.0	6.0	1.5	67	1	G	0.0	4	4	1.0	1.0	1/8	True	-3	1.0	1.0	1.0	1a	4	3/2	False	False				False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
24.0	12.0	2.0	63	-3	E	-1.0	4	4	1.0	2.0	1/4	True	-3	1.0	1.0	1.0	1a	4	2	False	False				False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
24.0	12.0	2.0	67	1	G	0.0	4	4	1.0	2.0	1/4	True	-3	1.0	1.0	1.0	1a	4	2	False	False				False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
24.0	12.0	2.0	70	-2	B	-1.0	4	4	1.0	1.0	1/4	True	-3	1.0	1.0	1.0	1a	4	2	False	False				False	0	Eb.I{	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
36.0	12.0	3.0	46	-2	B	-1.0	4	4	2.0	1.0	1/4	True	-3	1.0	1.0	1.0	1a	2	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	1	1	1	True	False	True
36.0	12.0	3.0	51	-3	E	-1.0	4	4	2.0	1.0	1/4	True	-3	1.0	1.0	1.0	1a	3	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	0	0	0	True	True	False
36.0	12.0	3.0	58	-2	B	-1.0	4	4	2.0	1.0	1/4	True	-3	1.0	1.0	1.0	1a	3	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	1	1	1	True	False	True
36.0	12.0	3.0	63	-3	E	-1.0	4	4	1.0	2.0	1/4	True	-3	1.0	1.0	1.0	1a	4	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	0	0	0	True	True	False
36.0	12.0	3.0	67	1	G	0.0	4	4	1.0	2.0	1/4	True	-3	1.0	1.0	1.0	1a	4	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	4	4	4	True	False	False
36.0	6.0	3.0	72	0	C	0.0	4	4	1.0	1.0	1/8	True	-3	1.0	1.0	1.0	1a	5	3	False	True				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	3	3	3	False	False	False
42.0	6.0	3.5	67	1	G	0.0	4	4	1.0	1.0	1/8	True	-3	1.0	1.0	1.0	1a	4	7/2	False	False				False	1	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	4	4	4	True	False	False
48.0	36.0	4.0	51	-3	E	-1.0	4	4	2.0	1.0	3/4	True	-3	2.0	2.0	2.0	2a	3	4	False	True				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
48.0	36.0	4.0	58	-2	B	-1.0	4	4	2.0	1.0	3/4	True	-3	2.0	2.0	2.0	2a	3	4	False	True				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
48.0	24.0	4.0	63	-3	E	-1.0	4	4	1.0	2.0	1/2	True	-3	2.0	2.0	2.0	2a	4	4	False	True				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
48.0	24.0	4.0	67	1	G	0.0	4	4	1.0	2.0	1/2	True	-3	2.0	2.0	2.0	2a	4	4	False	True				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
48.0	24.0	4.0	70	-2	B	-1.0	4	4	1.0	1.0	1/2	True	-3	2.0	2.0	2.0	2a	4	4	False	True				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
72.0	12.0	6.0	63	-3	E	-1.0	4	4	1.0	2.0	1/4	True	-3	2.0	2.0	2.0	2a	4	6	False	False				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
72.0	12.0	6.0	67	1	G	0.0	4	4	1.0	2.0	1/4	True	-3	2.0	2.0	2.0	2a	4	6	False	False				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
72.0	6.0	6.0	70	-2	B	-1.0	4	4	1.0	1.0	1/8	True	-3	2.0	2.0	2.0	2a	4	6	False	False				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
78.0	6.0	6.5	72	0	C	0.0	4	4	1.0	1.0	1/8	True	-3	2.0	2.0	2.0	2a	5	13/2	False	False				False	2	I	Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	3	3	3	False	False	False
84.0	12.0	7.0	46	-2	B	-1.0	4	4	2.0	1.0	1/4	True	-3	2.0	2.0	2.0	2a	2	7	False	True				False	3	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	1	1	1	True	False	True
84.0	12.0	7.0	51	-3	E	-1.0	4	4	2.0	1.0	1/4	True	-3	2.0	2.0	2.0	2a	3	7	False	True				False	3	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	0	0	0	True	True	False
84.0	12.0	7.0	58	-2	B	-1.0	4	4	2.0	1.0	1/4	True	-3	2.0	2.0	2.0	2a	3	7	False	True				False	3	I64(+6)	Eb	I		I64(+6)		I		64	+6		M	False	False	(1, 0, 4)	(3,)	0	1	major	major	I	I, major	I		I	I	False	I64	I64, major		I64(+6), major		I	-3	-3	-3	1	1	1	True	False	True
