onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	6.0	0.0	66	6	F	1.0	3	4	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	3	3	3	False	False	False
6.0	3.0	0.5	68	8	G	1.0	3	4	1.0	1.0	1/16	True	3	1.0	1.0	1.0	1a	4	1/2	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	5	5	5	True	False	False
9.0	3.0	0.75	69	3	A	0.0	3	4	1.0	1.0	1/16	True	3	1.0	1.0	1.0	1a	4	3/4	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	0	0	0	False	False	False
12.0	12.0	1.0	50	2	D	0.0	3	4	2.0	2.0	1/4	True	3	1.0	1.0	1.0	1a	3	1	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	-1	-1	-1	True	False	True
12.0	24.0	1.0	52	4	E	0.0	3	4	2.0	1.0	1/2	True	3	1.0	1.0	1.0	1a	3	1	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	1	1	1	True	True	False
12.0	12.0	1.0	59	5	B	0.0	3	4	1.0	2.0	1/4	True	3	1.0	1.0	1.0	1a	3	1	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	2	2	2	True	False	False
12.0	12.0	1.0	64	4	E	0.0	3	4	1.0	2.0	1/4	True	3	1.0	1.0	1.0	1a	4	1	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	1	1	1	True	True	False
12.0	6.0	1.0	68	8	G	1.0	3	4	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	4	1	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	5	5	5	True	False	False
18.0	6.0	1.5	71	5	B	0.0	3	4	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	4	3/2	False	False				False	0	A.V2{		A	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	3	3	3	2	2	2	True	False	False
24.0	12.0	2.0	49	7	C	1.0	3	4	2.0	2.0	1/4	True	3	1.0	1.0	1.0	1a	3	2	False	True				False	1	I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	4	4	4	True	False	True
24.0	6.0	2.0	64	4	E	0.0	3	4	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	4	2	False	True				False	1	I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	1	1	1	True	False	False
24.0	12.0	2.0	64	4	E	0.0	3	4	1.0	2.0	1/4	True	3	1.0	1.0	1.0	1a	4	2	False	True				False	1	I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	1	1	1	True	False	False
30.0	6.0	2.5	69	3	A	0.0	3	4	1.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	4	5/2	False	False				False	1	I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	0	0	0	True	True	False
36.0	6.0	3.0	47	5	B	0.0	3	4	2.0	2.0	1/8	True	3	2.0	2.0	2.0	2a	2	3	False	True				False	2	V64		A	I		V64		V		64			M	False	False	(2, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V64	V64, major		V64, major		V	3	3	3	2	2	2	True	False	True
36.0	12.0	3.0	52	4	E	0.0	3	4	2.0	1.0	1/4	False	3	2.0	2.0	2.0	2a	3	3	False	True				False	2	V64		A	I		V64		V		64			M	False	False	(2, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V64	V64, major		V64, major		V	3	3	3	1	1	1	True	True	False
