onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	6.0	0.0	43	1	G	0.0	1.0	1	4	4	3.0	1.0	3/4	True	0	1.0	1.0	1.0	1a	2	0	True	True				False	0	G.I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
0.0	8.0	0.0	62	2	D	0.0	1.0	1	4	4	1.0	1.0	1	True	0	1.0	1.0	1.0	1a	4	0	True	True				False	0	G.I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
6.0	2.0	3.0	45	3	A	0.0	4.0	4	4	4	3.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	2	3	False	False				False	0	G.I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
8.0	4.0	4.0	47	5	B	0.0	1.0	1	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	4	False	True				False	1	I6		G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	4	4	4	True	False	True
8.0	4.0	4.0	62	2	D	0.0	1.0	1	4	4	1.0	1.0	1/2	False	0	2.0	2.0	2.0	2a	4	4	False	True				False	1	I6		G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	1	1	1	True	False	False
12.0	4.0	6.0	43	1	G	0.0	3.0	3	4	4	3.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	2	6	False	True				False	2	I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
12.0	2.0	6.0	59	5	B	0.0	3.0	3	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	6	False	True				False	2	I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
14.0	2.0	7.0	59	5	B	0.0	4.0	4	4	4	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	7	False	False				False	2	I		G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
16.0	4.0	8.0	50	2	D	0.0	1.0	1	4	4	3.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	8	False	True				False	3	V(4)		G	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	1	1	1	1	1	1	True	True	True
16.0	8.0	8.0	57	3	A	0.0	1.0	1	4	4	1.0	1.0	1	True	0	3.0	3.0	3.0	3a	3	8	False	True				False	3	V(4)		G	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	1	1	1	2	2	2	True	False	False
