onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	16.0	0.0	57	3	A	0.0	1.0	1	4	4	1.0	1.0	1	True	0	1.0	1.0	1.0	1a	3	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
0.0	16.0	0.0	57	3	A	0.0	1.0	1	4	4	2.0	1.0	1	True	0	1.0	1.0	1.0	1a	3	0	True	True				False	0	a.i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
16.0	16.0	4.0	50	2	D	0.0	1.0	1	4	4	1.0	1.0	1	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
16.0	16.0	4.0	50	2	D	0.0	1.0	1	4	4	2.0	1.0	1	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
32.0	8.0	8.0	50	2	D	0.0	1.0	1	4	4	1.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	8	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
32.0	8.0	8.0	50	2	D	0.0	1.0	1	4	4	2.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	8	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
40.0	8.0	10.0	50	2	D	0.0	3.0	3	4	4	1.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	10	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
40.0	8.0	10.0	50	2	D	0.0	3.0	3	4	4	2.0	1.0	1/2	True	0	3.0	3.0	3.0	3a	3	10	False	False				False	1	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	3	3	3	-1	-1	-1	True	True	True
48.0	4.0	12.0	53	-1	F	0.0	1.0	1	4	4	1.0	1.0	1/4	True	0	4.0	4.0	4.0	4a	3	12	False	True				False	2	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	3	3	3	-4	-4	-4	True	True	True
48.0	4.0	12.0	53	-1	F	0.0	1.0	1	4	4	2.0	1.0	1/4	True	0	4.0	4.0	4.0	4a	3	12	False	True				False	2	VI	iv6	a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	3	3	3	-4	-4	-4	True	True	True
